identifier,name,type,damage_class,power,accuracy,pp,priority,target_identifier,flavor_text
snipe-shot,Snipe Shot,water,special,80,100,15,0,chosen,"The user ignores the effects of opposing Pokémon’s moves and Abilities that draw in moves, allowing this move to hit the chosen target."
jaw-lock,Jaw Lock,dark,physical,80,100,10,0,chosen,This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.
stuff-cheeks,Stuff Cheeks,normal,status,,,10,0,self,"The user eats its held Berry, then sharply raises its Defense stat."
no-retreat,No Retreat,fighting,status,,,5,0,self,This move raises all the user’s stats but prevents the user from switching out or fleeing.
tar-shot,Tar Shot,rock,status,,100,15,0,chosen,"The user pours sticky tar over the target, lowering the target’s Speed stat. The target becomes weaker to [[types:Fire]]-type moves."
magic-powder,Magic Powder,psychic,status,,100,20,0,chosen,The user scatters a cloud of magic powder that changes the target to [[types:Psychic]] type.
dragon-darts,Dragon Darts,dragon,physical,50,100,10,0,chosen,"The user attacks twice using Dreepy. If there are two targets, this move hits each target once."
teatime,Teatime,normal,status,,,10,0,all,The user has teatime with all the Pokémon in the battle. Each Pokémon eats its held Berry.
octolock,Octolock,fighting,status,,100,15,0,chosen,The user locks the target in and prevents it from fleeing. This move also lowers the target’s Defense and Sp. Def every turn.
bolt-beak,Bolt Beak,electric,physical,85,100,10,0,chosen,"The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled."
fishious-rend,Fishious Rend,water,physical,85,100,10,0,chosen,"The user rends the target with its hard gills. If the user attacks before the target, the power of this move is doubled."
court-change,Court Change,normal,status,,100,10,0,both-sides,"With its mysterious power, the user swaps the effects on either side of the field."
clangorous-soul,Clangorous Soul,dragon,status,,100,5,0,self,The user raises all its stats by using some of its HP.
body-press,Body Press,fighting,physical,80,100,10,0,chosen,"The user attacks by slamming its body into the target. The higher the user’s Defense, the more damage it can inflict on the target."
decorate,Decorate,fairy,status,,,15,0,chosen,The user sharply raises the target’s Attack and Sp. Atk stats by decorating the target.
drum-beating,Drum Beating,grass,physical,80,100,10,0,chosen,"The user plays its drum, controlling the drum’s roots to attack the target. This also lowers the target’s Speed stat."
snap-trap,Snap Trap,grass,physical,35,100,15,0,chosen,The user snares the target in a snap trap for four to five turns.
pyro-ball,Pyro Ball,fire,physical,120,90,5,0,chosen,The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn.
behemoth-blade,Behemoth Blade,steel,physical,100,100,5,0,chosen,The user becomes a gigantic sword and cuts the target. This move deals twice the damage if the target is Dynamaxed.
behemoth-bash,Behemoth Bash,steel,physical,100,100,5,0,chosen,The user becomes a gigantic shield and slams into the target. This move deals twice the damage if the target is Dynamaxed.
aura-wheel,Aura Wheel,electric,physical,110,100,10,0,chosen,Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move’s type changes depending on the user’s form.
breaking-swipe,Breaking Swipe,dragon,physical,60,100,15,0,all-opponents,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.
branch-poke,Branch Poke,grass,physical,40,100,40,0,chosen,The user attacks the target by poking it with a sharply pointed branch.
overdrive,Overdrive,electric,special,80,100,10,0,all-opponents,"The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration."
apple-acid,Apple Acid,grass,special,80,100,10,0,chosen,The user attacks the target with an acidic liquid created from tart apples. This also lowers the target’s Sp. Def stat.
grav-apple,Grav Apple,grass,physical,80,100,10,0,chosen,The user inflicts damage by dropping an apple from high above. This also lowers the target’s Defense stat.
spirit-break,Spirit Break,fairy,physical,75,100,15,0,chosen,The user attacks the target with so much force that it could break the target’s spirit. This also lowers the target’s Sp. Atk stat.
strange-steam,Strange Steam,fairy,special,90,95,10,0,chosen,The user attacks the target by emitting steam. This may also confuse the target.
life-dew,Life Dew,water,status,,,10,0,all-allies,The user scatters mysterious water around and restores the HP of itself and its ally Pokémon in the battle.
obstruct,Obstruct,dark,status,,100,10,4,self,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession. Direct contact harshly lowers the attacker’s Defense stat.
false-surrender,False Surrender,dark,physical,80,,10,0,chosen,"The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses."
meteor-assault,Meteor Assault,fighting,physical,150,100,5,0,chosen,"The user attacks wildly with its thick leek. The user can’t move on the next turn, because the force of this move makes it stagger."
eternabeam,Eternabeam,dragon,special,160,90,5,0,chosen,This is Eternatus’s most powerful attack in its original form. The user can’t move on the next turn.
steel-beam,Steel Beam,steel,special,140,95,5,0,chosen,The user fires a beam of steel that it collected from its entire body. This also damages the user.
burning-jealousy,Burning Jealousy,fire,special,70,100,5,0,chosen,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn. 
coaching,Coaching,fighting,status,,,10,0,all-allies,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats. "
corrosive-gas,Corrosive Gas,poison,status,,100,40,0,all-others,The user surrounds everything around it with highly acidic gas and melts away items they hold. 
dual-wingbeat,Dual Wingbeat,flying,physical,40,90,40,0,chosen,The user slams the target with its wings. The target is hit twice in a row. 
expanding-force,Expanding Force,psychic,special,80,100,10,0,chosen,The user attacks the target with its psychic power. This move's power goes up and damages all opposing Pokémon on [[moves:Psychic Terrain]]. 
flip-turn,Flip Turn,water,physical,60,100,20,0,chosen,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting. "
grassy-glide,Grassy Glide,grass,physical,70,100,20,0,chosen,"Gliding on the ground, the user attacks the target. This move always goes first on [[moves:Grassy Terrain]]. "
jungle-healing,Jungle Healing,grass,status,,,10,0,user-side,"The user becomes one with the jungle, restoring HP and healing any status conditions of itself and its ally Pokémon in battle. "
lash-out,Lash Out,dark,physical,75,100,5,0,chosen,"The user lashes out to vent its frustration toward the target. If its stats were lowered during the turn, the power of this move is doubled. "
meteor-beam,Meteor Beam,rock,special,120,90,10,0,chosen,"In this two-turn attack, the user gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn."
misty-explosion,Misty Explosion,fairy,special,100,100,5,0,all-others,The user attacks everything around it and faints upon using this move. This move's power is increased on [[moves:Misty Terrain]]. 
poltergeist,Poltergeist,ghost,physical,110,90,5,0,chosen,The user attacks the target by controlling the target's item. The move fails if the target doesn't have an item. 
rising-voltage,Rising Voltage,electric,special,70,100,20,0,chosen,The user attacks with electric voltage rising from the ground. This move's power doubles when the target is on [[moves:Electric Terrain]]. 
scale-shot,Scale Shot,dragon,physical,25,90,20,0,chosen,The user attacks by shooting scales two to five times in a row. This move boosts the user's Speed stat but lowers its Defense stat.
scorching-sands,Scorching Sands,ground,special,70,100,10,0,chosen,The user throws scorching sand at the target to attack. This may also leave the target with a burn. 
shell-side-arm,Shell Side Arm,poison,special,90,100,10,0,chosen,"This move inflicts physical or special damage, whichever will be more effective. This may also poison the target."
skitter-smack,Skitter Smack,bug,physical,70,90,10,0,chosen,The user skitters behind the target to attack. This also lowers the target's Sp. Atk stat. 
steel-roller,Steel Roller,steel,physical,130,100,5,0,chosen,The user attacks while destroying the terrain. This move fails when the ground hasn't turned into a terrain. 
surging-strikes,Surging Strikes,water,physical,25,100,5,0,chosen,"The user, having mastered the Water style, strikes the target with a flowing motion three times in a row. This attack always results in a critical hit. "
terrain-pulse,Terrain Pulse,normal,special,50,100,10,0,chosen,The user utilizes the power of the terrain to attack. This move's type and power changes depending on the terrain when it's used. 
triple-axel,Triple Axel,ice,physical,20,90,10,0,chosen,A consecutive three-kick attack that becomes more powerful with each successful hit.
wicked-blow,Wicked Blow,dark,physical,80,100,5,0,chosen,"The user, having mastered the Dark style, strikes the target with a fierce blow. This attack always results in a critical hit. "
eerie-spell,Eerie Spell,psychic,special,80,100,5,0,chosen,The user attacks with its tremendous psychic power. This also removes 3 PP from the target's last move.
thunder-cage,Thunder Cage,electric,special,80,90,15,0,chosen,The user traps the target in a cage of sparking electricity for four to five turns.
dragon-energy,Dragon Energy,dragon,special,150,100,5,0,all-opponents,"Converting its life-force into power, the user attacks opposing Pokémon. The lower the user's HP, the lower the move's power."
freezing-glare,Freezing Glare,psychic,special,90,100,10,0,chosen,The user shoots its psychic power from its eyes to attack. This may also leave the target frozen. 
thunderous-kick,Thunderous Kick,fighting,physical,90,100,10,0,chosen,The user overwhelms the target with lightning-like movement before delivering a kick. This also lowers the target's Defense stat. 
fiery-wrath,Fiery Wrath,dark,special,90,100,10,0,all-opponents,The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.
glacial-lance,Glacial Lance,ice,physical,130,100,5,0,all-opponents,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.
astral-barrage,Astral Barrage,ghost,special,120,100,5,0,all-opponents, The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
max-flare,Max Flare,fire,max,,,,0,chosen,This is a Fire-type attack Dynamax Pokémon use. The user intensifies the sun for five turns. 
max-flutterby,Max Flutterby,bug,max,,,,0,chosen,This is a Bug-type attack Dynamax Pokémon use. This lowers the target's Sp. Atk stat. 
max-lightning,Max Lightning,electric,max,,,,0,chosen,This is an Electric-type attack Dynamax Pokémon use. The user turns the ground into Electric Terrain for five turns. 
max-strike,Max Strike,normal,max,,,,0,chosen,This is a Normal-type attack Dynamax Pokémon use. This lowers the target's Speed stat.
max-knuckle,Max Knuckle,fighting,max,,,,0,chosen,This is a Fighting-type attack Dynamax Pokémon use. This raises ally Pokémon's Attack stats. 
max-phantasm,Max Phantasm,ghost,max,,,,0,chosen,This is a Ghost-type attack Dynamax Pokémon use. This lowers the target's Defense stat. 
max-hailstorm,Max Hailstorm,ice,max,,,,0,chosen,This is an Ice-type attack Dynamax Pokémon use. The user summons a hailstorm lasting five turns. 
max-ooze,Max Ooze,poison,max,,,,0,chosen,This is a Poison-type attack Dynamax Pokémon use. This raises ally Pokémon's Sp. Atk stats. 
max-geyser,Max Geyser,water,max,,,,0,chosen,This is a Water-type attack Dynamax Pokémon use. The user summons a heavy rain that falls for five turns. 
max-airstream,Max Airstream,flying,max,,,,0,chosen,This is a Flying-type attack Dynamax Pokémon use. This raises ally Pokémon's Speed stats. 
max-starfall,Max Starfall,fairy,max,,,,0,chosen,This is a Fairy-type attack Dynamax Pokémon use. The user turns the ground into Misty Terrain for five turns. 
max-wyrmwind,Max Wyrmwind,dragon,max,,,,0,chosen,This is a Dragon-type attack Dynamax Pokémon use. This lowers the target's Attack stat. 
max-mindstorm,Max Mindstorm,psychic,max,,,,0,chosen,This is a Psychic-type attack Dynamax Pokémon use. The user turns the ground into Psychic Terrain for five turns. 
max-rockfall,Max Rockfall,rock,max,,,,0,chosen,This is a Rock-type attack Dynamax Pokémon use. The user summons a sandstorm lasting five turns. 
max-quake,Max Quake,ground,max,,,,0,chosen,This is a Ground-type attack Dynamax Pokémon use. This raises ally Pokémon's Sp. Def stats. 
max-darkness,Max Darkness,dark,max,,,,0,chosen,This is a Dark-type attack Dynamax Pokémon use. This lowers the target's Sp. Def stat. 
max-overgrowth,Max Overgrowth,grass,max,,,,0,chosen,This is a Grass-type attack Dynamax Pokémon use. The user turns the ground into Grassy Terrain for five turns. 
max-steelspike,Max Steelspike,steel,max,,,,0,chosen,This is a Steel-type attack Dynamax Pokémon use. This raises ally Pokémon's Defense stats. 
max-guard,Max Guard,normal,max,,,,0,chosen,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.
gmax-vine-lash,G-Max Vine Lash,grass,max,,,,0,chosen,A Grass-type attack that Gigantamax Venusaur use. This move continues to deal damage to opponents for four turns. 
gmax-wildfire,G-Max Wildifre,fire,max,,,,0,chosen,A Fire-type attack that Gigantamax Charizard use. This move continues to deal damage to opponents for four turns. 
gmax-cannonade,G-Max Cannonade,water,max,,,,0,chosen,A Water-type attack that Gigantamax Blastoise use. This move continues to deal damage to opponents for four turns. 
gmax-befuddle,G-Max Befuddle,bug,max,,,,0,chosen,"A Bug-type attack that Gigantamax Butterfree use. This move inflicts the poisoned, paralyzed, or asleep status condition on opponents. "
gmax-volt-crash,G-Max Volt Crash,electric,max,,,,0,chosen,An Electric-type attack that Gigantamax Pikachu use. This move paralyzes opponents.
gmax-gold-rush,G-Max Gold Rush,normal,max,,,,0,chosen,A Normal-type attack that Gigantamax Meowth use. This move confuses opponents and also earns extra money. 
gmax-chi-strike,G-Max Chi Strike,fighting,max,,,,0,chosen,A Fighting-type attack that Gigantamax Machamp use. This move raises the chance of critical hits. 
gmax-terror,G-Max Terror,ghost,max,,,,0,chosen,A Ghost-type attack that Gigantamax Gengar use. This Pokémon steps on the opposing Pokémon's shadow to prevent them from escaping.
gmax-foam-burst,G-Max Foam Burst,water,max,,,,0,chosen,A Water-type attack that Gigantamax Kingler use. This move harshly lowers the Speed of opponents.
gmax-resonance,G-Max Resonance,ice,max,,,,0,chosen,An Ice-type attack that Gigantamax Lapras use. This move reduces the damage received for five turns. 
gmax-cuddle,G-Max Cuddle,normal,max,,,,0,chosen,A Normal-type attack that Gigantamax Eevee use. This move infatuates opponents.
gmax-replenish,G-Max Replenish,normal,max,,,,0,chosen,A Normal-type attack that Gigantamax Snorlax use. This move restores Berries that have been eaten. 
gmax-malodor,G-Max Malodor,poison,max,,,,0,chosen,A Poison-type attack that Gigantamax Garbodor use. This move poisons opponents. 
gmax-meltdown,G-Max Meltdown,steel,max,,,,0,chosen,A Steel-type attack that Gigantamax Melmetal use. This move makes opponents incapable of using the same move twice in a row.
gmax-drum-solo,G-Max Drum Solo,grass,max,160,,,0,chosen,A Grass-type attack that Gigantamax Rillaboom use. This move can be used on the target regardless of its Abilities. 
gmax-fireball,G-Max Fireball,fire,max,160,,,0,chosen,A Fire-type attack that Gigantamax Cinderace use. This move can be used on the target regardless of its Abilities. 
gmax-hydrosnipe,G-Max Hydrosnipe,water,max,160,,,0,chosen,A Water-type attack that Gigantamax Inteleon use. This move can be used on the target regardless of its Abilities. 
gmax-wind-rage,G-Max Wind Rage,flying,max,,,,0,chosen,A Flying-type attack that Gigantamax Corviknight use. This move removes the effects of moves like Reflect and Light Screen. 
gmax-gravitas,G-Max Gravitas,psychic,max,,,,0,chosen,A Psychic-type attack that Gigantamax Orbeetle use. This move changes gravity for five turns. 
gmax-stonesurge,G-Max Stonesurge,water,max,,,,0,chosen,A Water-type attack that Gigantamax Drednaw use. This move scatters sharp rocks around the field. 
gmax-volcalith,G-Max Volcalith,rock,max,,,,0,chosen,A Rock-type attack that Gigantamax Coalossal use. This move continues to deal damage to opponents for four turns. 
gmax-tartness,G-Max Tartness,grass,max,,,,0,chosen,A Grass-type attack that Gigantamax Flapple use. This move reduces the opponents' evasiveness. 
gmax-sweetness,G-Max Sweetness,grass,max,,,,0,chosen,A Grass-type attack that Gigantamax Appletun use. This move heals the status conditions of allies. 
gmax-sandblast,G-Max Sandblast,ground,max,,,,0,chosen,A Ground-type attack that Gigantamax Sandaconda use. Opponents are trapped in a raging sandstorm for four to five turns. 
gmax-stun-shock,G-Max Stun Shock,electric,max,,,,0,chosen,An Electric-type attack that Gigantamax Toxtricity use. This move poisons or paralyzes opponents. 
gmax-centiferno,G-Max Centiferno,fire,max,,,,0,chosen,A Fire-type attack that Gigantamax Centiskorch use. This move traps opponents in flames for four to five turns. 
gmax-smite,G-Max Smite,fairy,max,,,,0,chosen,A Fairy-type attack that Gigantamax Hatterene use. This move confuses opponents. 
gmax-snooze,G-Max Snooze,dark,max,,,,0,chosen,A Dark-type attack that Gigantamax Grimmsnarl use. The user lets loose a huge yawn that lulls the targets into falling asleep on the next turn. 
gmax-finale,G-Maze Finale,fairy,max,,,,0,chosen,A Fairy-type attack that Gigantamax Alcremie use. This move heals the HP of allies. 
gmax-steelsurge,G-Max Steelsurge,steel,max,,,,0,chosen,A Steel-type attack that Gigantamax Copperajah use. This move scatters sharp spikes around the field. 
gmax-depletion,G-Max Depletion,dragon,max,,,,0,chosen,A Dragon-type attack that Gigantamax Duraludon use. Reduces the PP of the last move used. 
gmax-one-blow,G-Max One Blow,dark,max,,,,0,chosen,A Dark-type attack that Gigantamax Urshifu use. This single-strike move can ignore Max Guard. 
gmax-rapid-flow,G-Max Rapid Flow,water,max,,,,0,chosen,A Water-type attack that Gigantamax Urshifu use. This rapid-strike move can ignore Max Guard. 
