identifier,name,value,pocket,flavor_text
red-nectar,Red Nectar,300,Items,A flower nectar obtained at Ula’ula Meadow. It changes the form of certain species of Pokémon.
yellow-nectar,Yellow Nectar,300,Items,A flower nectar obtained at Melemele Meadow. It changes the form of certain species of Pokémon.
pink-nectar,Pink Nectar,300,Items,The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.
purple-nectar,Purple Nectar,300,Items,A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.
sun-flute,Sun Flute,0,Key Items,It is said that the tones it produces were offered up as an expression of gratitude to the Legendary Pokémon of the sun.
moon-flute,Moon Flute,0,Key Items,It is said that the tones it produces were offered up as an expression of gratitude to the Legendary Pokémon of the moon.
enigmatic-card,Enigmatic Card,0,Key Items,A mysterious card. Written on it is a request for you to go to a guest room in an Akala motel on Route 8.
terrain-extender,Terrain Extender,4000,Items,An item to be held by a Pokémon. It extends the duration of the terrain caused by the holder’s move or Ability.
protective-pads,Protective Pads,4000,Items,An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.
electric-seed,Electric Seed,4000,Items,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.
psychic-seed,Psychic Seed,4000,Items,An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.
misty-seed,Misty Seed,4000,Items,An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.
grassy-seed,Grassy Seed,4000,Items,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.
fighting-memory,Fighting Memory,1000,Items,A memory disc that contains Fighting-type data. It changes the type of the holder if held by a certain species of Pokémon.
flying-memory,Flying Memory,1000,Items,A memory disc that contains Flying-type data. It changes the type of the holder if held by a certain species of Pokémon.
poison-memory,Poison Memory,1000,Items,A memory disc that contains Poison-type data. It changes the type of the holder if held by a certain species of Pokémon.
ground-memory,Ground Memory,1000,Items,A memory disc that contains Ground-type data. It changes the type of the holder if held by a certain species of Pokémon.
rock-memory,Rock Memory,1000,Items,A memory disc that contains Rock-type data. It changes the type of the holder if held by a certain species of Pokémon.
bug-memory,Bug Memory,1000,Items,A memory disc that contains Bug-type data. It changes the type of the holder if held by a certain species of Pokémon.
ghost-memory,Ghost Memory,1000,Items,A memory disc that contains Ghost-type data. It changes the type of the holder if held by a certain species of Pokémon.
steel-memory,Steel Memory,1000,Items,A memory disc that contains Steel-type data. It changes the type of the holder if held by a certain species of Pokémon.
fire-memory,Fire Memory,1000,Items,A memory disc that contains Fire-type data. It changes the type of the holder if held by a certain species of Pokémon.
water-memory,Water Memory,1000,Items,A memory disc that contains Water-type data. It changes the type of the holder if held by a certain species of Pokémon.
grass-memory,Grass Memory,1000,Items,A memory disc that contains Grass-type data. It changes the type of the holder if held by a certain species of Pokémon.
electric-memory,Electric Memory,1000,Items,A memory disc that contains Electric-type data. It changes the type of the holder if held by a certain species of Pokémon.
psychic-memory,Psychic Memory,1000,Items,A memory disc that contains Psychic-type data. It changes the type of the holder if held by a certain species of Pokémon.
ice-memory,Ice Memory,1000,Items,A memory disc that contains Ice-type data. It changes the type of the holder if held by a certain species of Pokémon.
dragon-memory,Dragon Memory,1000,Items,A memory disc that contains Dragon-type data. It changes the type of the holder if held by a certain species of Pokémon.
dark-memory,Dark Memory,1000,Items,A memory disc that contains Dark-type data. It changes the type of the holder if held by a certain species of Pokémon.
fairy-memory,Fairy Memory,1000,Items,A memory disc that contains Fairy-type data. It changes the type of the holder if held by a certain species of Pokémon.
bike--green,Bike,0,Key Items,A folding Bike that enables a rider to get around much faster than with Running Shoes.
storage-key--galactic-warehouse,Storage Key,0,Key Items,The key to Team Galactic’s sinister warehouse located at the edge of Veilstone City.
basement-key--goldenrod,Basement Key,0,Key Items,A key that opens a door in the Goldenrod Tunnel.
dropped-item--red,Dropped Item,0,Key Items,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.
dropped-item--yellow,Dropped Item,0,Key Items,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a girl.
holo-caster--green,Holo Caster,0,Key Items,A device that allows users to receive and view hologram clips at any time. It’s also used to chat with others.
bike--yellow,Bike,0,Key Items,A folding Bike that enables a rider to get around much faster than with Running Shoes.
holo-caster--red,Holo Caster,0,Key Items,A device that allows users to receive and view hologram clips at any time. It’s also used to chat with others.
basement-key--new-mauville,Basement Key,0,Key Items,"The key to New Mauville, which was constructed beneath Mauville City."
storage-key--sea-mauville,Storage Key,0,Key Items,A key that opens the storage hold inside Sea Mauville.
ss-ticket--hoenn,S.S. Ticket,0,Key Items,Ticket required for sailing on a ferry.
contest-costume--dress,Contest Costume,0,Key Items,A very cute dress to be worn during the Contest Spectacular.
meteorite--2,Meteorite,0,Key Items,A Meteorite that you got at Mt. Chimney. It gives off a faint glow.
meteorite--3,Meteorite,0,Key Items,A Meteorite that you got at Mt. Chimney. It continues to give off a faint glow and is slightly warm to the touch.
meteorite--4,Meteorite,0,Key Items,"A Meteorite that you got at Mt. Chimney. Some sort of pattern has risen to the surface, and it’s shining with seven colors of light."
ability-patch,Ability Patch,0,Items,A patch that allows a Pokémon with a regular Ability to have a rare Ability. 
adamant-mint,Adamant Mint,10,Items,"When a Pokémon smells this mint, its Attack will grow more easily, but its Sp. Atk will grow more slowly. "
armor-pass,Armor Pass,0,Key Items,A pass to go to the Isle of Armor. Show it to the rail staff at Wedgehurst Station. 
armorite-ore,Armorite Ore,20,Items,Rare ore that can be obtained on the Isle of Armor. Something good will happen if you give it to a collector on the Isle of Armor. 
bachs-food-tin,Bach’s Food Tin,950,Ingredients,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar. 
band-autograph,Band Autograph,0,Key Items,"It's signed by all members of the Galar region's most charismatic band, the Maximizers. "
berry-sweet,Berry Sweet,250,Items,"A berry-shaped sweet. When a Milcery holds this, it spins around happily. "
black-mane-hair,Black Mane Hair,0,Key Items,"Mane hair that belonged to the King of Bountiful Harvests' beloved steed, Spectrier. The hair is very smooth to the touch. "
blunder-policy,Blunder Policy,2000,Items,Raises Speed sharply when a Pokémon misses with a move because of accuracy. 
bobs-food-tin,Bob’s Food Tin,950,Ingredients,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar. 
boiled-egg,Boiled Egg,2200,Ingredients,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish. 
bold-mint,Bold Mint,10,Items,"When a Pokémon smells this mint, its Defense will grow more easily, but its Attack will grow more slowly. "
brave-mint,Brave Mint,10,Items,"When a Pokémon smells this mint, its Attack will grow more easily, but its Speed will grow more slowly. "
bread,Bread,150,Ingredients,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate. 
brittle-bones,Brittle Bones,950,Ingredients,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste. 
calm-mint,Calm Mint,10,Items,"When a Pokémon smells this mint, its Sp. Def will grow more easily, but its Attack will grow more slowly. "
camping-gear,Camping Gear,0,Key Items,Everything you need to set up a tent and get cooking in a Wild Area or at a camping spot. 
careful-mint,Careful Mint,10,Items,"When a Pokémon smells this mint, its Sp. Def will grow more easily, but its Sp. Atk will grow more slowly. "
carrot-seeds,Carrot Seeds,0,Key Items,Seeds to plant in a field. The kind of carrot you'll get is determined by which field you plant the seeds in. 
catching-charm,Catching Charm,0,Key Items,"Holding it is said to increase the chance of getting a critical catch. Curiously, the charm doesn't shake much. "
chipped-pot,Chipped Pot,3000,Items,"A peculiar teapot that can make a certain species of Pokémon evolve. It may be chipped, but tea poured from it is delicious. "
clover-sweet,Clover Sweet,250,Items,"A clover-shaped sweet. When a Milcery holds this, it spins around happily. "
coconut-milk,Coconut Milk,950,Ingredients,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular. 
cracked-pot,Cracked Pot,3000,Items,"A peculiar teapot that can make a certain species of Pokémon evolve. It may be cracked, but tea poured from it is delicious. "
crown-pass,Crown Pass,0,Key Items,A pass to go to the Crown Tundra. Show it to the rail staff at Wedgehurst Station. 
dynamax-band,Dynamax Band,0,Key Items,A Wishing Star has been affixed to it. It lets out a light that allows Pokémon to Dynamax when at a Power Spot. 
dynamax-candy,Dynamax Candy,0,Items,"A candy that is packed with energy. When consumed, it will raise the Dynamax Level of a single Pokémon by one. A higher level means higher HP when Dynamaxed. "
dynite-ore,Dynite Ore,10,Items,Mysterious ore that can be obtained in the Max Lair. Something good will happen if you give it to a collector in the Crown Tundra. 
eject-pack,Eject Pack,2000,items,"An item to be held by a Pokémon. When the holder's stats are lowered, it will be switched out of battle. "
endorsement,Endorsement,0,Key Items,A letter of recommendation that you'll need in order to participate in the Gym Challenge. 
exp-candy-l,Exp. Candy L,1500,Items,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a large amount of Exp. Points. "
exp-candy-m,Exp. Candy M,500,Items,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a moderate amount of Exp. Points. "
exp-candy-s,Exp. Candy S,120,Items,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a small amount of Exp. Points. "
exp-candy-xl,Exp. Candy XL,5000,Items,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a very large amount of Exp. Points. "
exp-candy-xs,Exp. Candy XS,10,Items,"A candy that is packed with energy. When consumed, it will grant a single Pokémon a very small amount of Exp. Points. "
exp-charm,Exp. Charm,0,Key Items,A charm that increases the Exp. Points that Pokémon can get. A machine-like object is inside the charm. 
fancy-apple,Fancy Apple,2200,Ingredients,One of the many ingredients that can be used for cooking at your camp. An apple chosen above others. It has spectacular form and a brilliant sheen. 
flower-sweet,Flower Sweet,250,Items,"A flower-shaped sweet. When a Milcery holds this, it spins around happily. "
fossilized-bird,Fossilized Bird,2500,Treasures,The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery. 
fossilized-dino,Fossilized Dino,2500,Treasures,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery. 
fossilized-drake,Fossilized Drake,2500,Treasures,The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery. 
fossilized-fish,Fossilized Fish,2500,Treasures,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery. 
fresh-cream,Fresh Cream,950,Ingredients,One of the many ingredients that can be used for cooking at your camp. Add some whipped cream to a spicy curry to give it some sweetness. 
fried-food,Fried Food,150,Ingredients,"One of the many ingredients that can be used for cooking at your camp. It's been a while since it was fried, so it's gotten greasy. "
fruit-bunch,Fruit Bunch,2200,Ingredients,One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel. 
galarica-cuff,Galarica Cuff,3000,Items,A cuff made from woven-together Galarica Twigs. Giving it to Galarian Slowpoke makes the Pokémon very happy. 
galarica-twig,Galarica Twig,20,Items,A twig from a species of tree called Galarica that grows in certain areas around the Galar region. It's a material for an accessory for a certain Pokémon. 
galarica-wreath,Galarica Wreath,3000,Items,A wreath made from woven-together Galarica Twigs. Placing it on the head of a Galarian Slowpoke makes the Pokémon very happy. 
gentle-mint,Gentle Mint,10,Items,"When a Pokémon smells this mint, its Sp. Def will grow more easily, but its Defense will grow more slowly. "
gigantamix,Gigantamix,7500,Ingredients,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic. 
hasty-mint,Hasty Mint,10,Items,"When a Pokémon smells this mint, its Speed will grow more easily, but its Defense will grow more slowly. "
heavy-duty-boots,Heavy-Duty Boots,2000,Items,These boots prevent the effects of traps set on the battlefield. 
hi-tech-earbuds,Hi-Tech Earbuds,0,Items,Strange earbuds that allow you to freely control the volume of various sounds. 
iceroot-carrot,Iceroot Carrot,0,Key Items,Produce that the King of Bountiful Harvests' beloved steed likes to eat. It grew in a field covered in snow. 
impish-mint,Impish Mint,10,Items,"When a Pokémon smells this mint, its Defense will grow more easily, but its Sp. Atk will grow more slowly. "
instant-noodles,Instant Noodles,150,Ingredients,"One of the many ingredients that can be used for cooking at your camp. It has a junk-food sort of taste, but it goes well with curry. "
jolly-mint,Jolly Mint,10,Items,"When a Pokémon smells this mint, its Speed will grow more easily, but its Sp. Atk will grow more slowly. "
large-leek,Large Leek,2200,Ingredients,One of the many ingredients that can be used for cooking at your camp. Whether this is the kind of vegetable stalk that Farfetch'd like is unknown. 
lax-mint,Lax Mint,10,Ingredients,"When a Pokémon smells this mint, its Defense will grow more easily, but its Sp. Def will grow more slowly. "
legendary-clue-1,Legendary Clue 1,0,Key Items,"A clue about the King of Bountiful Harvests. It's written by Peony, and an old photo is attached to it. "
legendary-clue-2,Legendary Clue 2,0,Key Items,A clue about the legend of giants. It's written by Peony and has unique drawings. 
legendary-clue-3,Legendary Clue 3,0,Key Items,A clue about the legend of Bird Pokémon. It's written by Peony and has a unique drawing. 
legendary-clue,Legendary Clue?,0,Key Items,A mysterious clue that Peony seems to have dropped. There's a photo attached to it showing a shining hole opening above the Max Lair. 
lonely-mint,Lonely Mint,10,Items,"When a Pokémon smells this mint, its Attack will grow more easily, but its Defense will grow more slowly. "
love-sweet,Love Sweet,250,Items,"A heart-shaped sweet. When a Milcery holds this, it spins around happily. "
mark-charm,Mark Charm,0,Key Items,A mysterious and unique charm that increases the chance of finding a Pokémon with a mark. 
max-honey,Max Honey,4000,Medicine,Honey that Dynamax Vespiquen produces. Adding this honey to Max Soup makes the taste very smooth. It also has the same effect as a Max Revive. 
max-mushrooms,Max Mushrooms,4000,Battle Items,Mushrooms that have the power of changing Dynamax forms. They boost all stats of a Pokémon during battle. 
mild-mint,Mild Mint,10,Items,"When a Pokémon smells this mint, its Sp. Atk will grow more easily, but its Defense will grow more slowly. "
mixed-mushrooms,Mixed Mushrooms,400,Ingredients,One of the many ingredients that can be used for cooking at your camp. The chewy texture of the mushrooms transforms any dish they're added to. 
modest-mint,Modest Mint,10,Ingredients,"When a Pokémon smells this mint, its Sp. Atk will grow more easily, but its Attack will grow more slowly. "
moomoo-cheese,Moomoo Cheese,2200,Ingredients,One of the many ingredients that can be used for cooking at your camp. Melted cheese can really give a curry some richness. 
naive-mint,Naive Mint,10,Items,"When a Pokémon smells this mint, its Speed will grow more easily, but its Sp. Def will grow more slowly. "
naughty-mint,Naughty Mint,10,Items,"When a Pokémon smells this mint, its Attack will grow more easily, but its Sp. Def will grow more slowly. "
old-letter,Old Letter,0,Key Items,"A letter entrusted to you by a girl, to be delivered to a boy. Strangely, it looks old to you. "
pack-of-potatoes,Pack of Potatoes,400,Ingredients,"One of the many ingredients that can be used for cooking at your camp. Potatoes help mellow out a spicy taste, to make a dish more mild. "
packaged-curry,Packaged Curry,950,Ingredients,One of the many ingredients that can be used for cooking at your camp. Using packaged curry helps make sure there are no slipups when cooking. 
pasta,Pasta,150,Ingredients,One of the many ingredients that can be used for cooking at your camp. These flour noodles make for a surprisingly good match with curry. 
precooked-burger,Precooked Burger,150,Ingredients,"One of the many ingredients that can be used for cooking at your camp. If you're unsure about what to cook, you can't go wrong with some burger. "
pungent-root,Pungent Root,950,Ingredients,"One of the many ingredients that can be used for cooking at your camp. Though carelessly picked, these herbs can add a fragrant accent to a dish. "
quiet-mint,Quiet Mint,10,Items,"When a Pokémon smells this mint, its Sp. Atk will grow more easily, but its Speed will grow more slowly. "
radiant-petal,Radiant Petal,0,Key Items,A single petal that the King of Bountiful Harvests gave you. It radiates faint light. 
rash-mint,Rash Mint,10,Items,"When a Pokémon smells this mint, its Sp. Atk will grow more easily, but its Sp. Def will grow more slowly. "
reins-of-unity,Reins of Unity,0,Key Items,Reins that people presented to the king. They enhance Calyrex’s power over bountiful harvests and unite Calyrex with its beloved steed. 
relaxed-mint,Relaxed Mint,10,Items,"When a Pokémon smells this mint, its Defense will grow more easily, but its Speed will grow more slowly. "
ribbon-sweet,Ribbon Sweet,250,Items,"A ribbon-shaped sweet. When a Milcery holds this, it spins around happily. "
room-service,Room Service,2000,Items,An item to be held by a Pokémon. Lowers Speed when Trick Room takes effect. 
rotom-bike,Rotom Bike,0,Key Items,This bike can be combined with the Pokémon Rotom to not only do a turbo boost but also run on the water.
rotom-catalog,Rotom Catalog,0,Key Items,A catalog of devices that Rotom like. Use the catalog to have Rotom hop in and out of the various devices listed within. 
rusted-shield,Rusted Shield,0,Items,It is said that a hero used this shield to halt a terrible disaster in ancient times. But it's grown rusty and worn. 
rusted-sword,Rusted Sword,0,Items,It is said that a hero used this sword to halt a terrible disaster in ancient times. But it's grown rusty and worn. 
salad-mix,Salad Mix,400,Ingredients,One of the many ingredients that can be used for cooking at your camp. The assortment of vegetables looks quite appealing and healthy. 
sassy-mint,Sassy Mint,10,Items,"When a Pokémon smells this mint, its Sp. Def will grow more easily, but its Speed will grow more slowly. "
sausages,Sausages,400,Ingredients,One of the many ingredients that can be used for cooking at your camp. These sausages should be boiled before eating. 
serious-mint,Serious Mint,10,Items,"When a Pokémon smells this mint, all of its stats will grow at an equal rate. "
shaderoot-carrot,Shaderoot Carrot,0,Key Items,Produce that the King of Bountiful Harvests' beloved steed likes to eat. It grew in a gloomy field. 
smoke-poke-tail,Smoke-Poke Tail,2200,Ingredients,"One of the many ingredients that can be used for cooking at your camp. When a Slowpoke's tail falls off, it grows back quickly. "
sonias-book,Sonia’s Book,0,Key Items,Professor Sonia's published writings. Her new discoveries about the Galar region's legends are recorded in this enjoyable read. 
spice-mix,Spice Mix,400,Ingredients,One of the many ingredients that can be used for cooking at your camp. There are over fifty spices contained within this ingredient's hot flavor. 
star-sweet,Star Sweet,250,Items,"A star-shaped sweet. When a Milcery holds this, it spins around happily. "
strawberry-sweet,Strawberry Sweet,250,Items,"A strawberry-shaped sweet. When a Milcery holds this, it will spin around happily. "
style-card,Style Card,0,Key Items,A card that increases the selection in boutiques and hair salons. 
sweet-apple,Sweet Apple,1100,Items,A peculiar apple that can make a certain species of Pokémon evolve. It's exceptionally sweet. 
tart-apple,Tart Apple,1100,Items,A peculiar apple that can make a certain species of Pokémon evolve. It's exceptionally tart. 
throat-spray,Throat Spray,2000,Items,Raises Sp. Atk when a Pokémon uses a sound-based move. 
timid-mint,Timid Mint,10,Items,"When a Pokémon smells this mint, its Speed will grow more easily, but its Attack will grow more slowly. "
tin-of-beans,Tin of Beans,400,Ingredients,"One of the many ingredients that can be used for cooking at your camp. When simmered, the beans suffuse a dish with their mild flavor. "
utility-umbrella,Utility Umbrella,2000,Items,An item to be held by a Pokémon. This sturdy umbrella protects the holder from the effects of rain and harsh sunlight. 
white-mane-hair,White Mane Hair,0,Key Items,"Mane hair that belonged to the King of Bountiful Harvests' beloved steed, Glastrier. The hair is strong and very flexible. "
wishing-piece,Wishing Piece,10,Items,Throw one into a Pokémon Den to attract a wild Dynamax Pokémon. 
wishing-star,Wishing Star,0,Key Items,A stone found in the Galar region with a mysterious power. It's said that your dreams come true if you find one. 
wooden-crown,Wooden Crown,0,Key Items,A mysterious object made of wood. Part of it seems to be chipped. Maybe it's meant to be part of something. 
tm00,TM00,10000,TMs and HMs,
tm01,TM01,40000,TMs and HMs,
tm02,TM02,0,TMs and HMs,
tm03,TM03,50000,TMs and HMs,
tm04,TM04,50000,TMs and HMs,
tm05,TM05,50000,TMs and HMs,
tm06,TM06,0,TMs and HMs,
tm07,TM07,0,TMs and HMs,
tm08,TM08,50000,TMs and HMs,
tm09,TM09,50000,TMs and HMs,
tm10,TM10,0,TMs and HMs,
tm11,TM11,0,TMs and HMs,
tm12,TM12,50000,TMs and HMs,
tm13,TM13,10000,TMs and HMs,
tm14,TM14,0,TMs and HMs,
tm15,TM15,0,TMs and HMs,
tm16,TM16,0,TMs and HMs,
tm17,TM17,10000,TMs and HMs,
tm18,TM18,10000,TMs and HMs,
tm19,TM19,10000,TMs and HMs,
tm20,TM20,100000,TMs and HMs,
tm21,TM21,0,TMs and HMs,
tm22,TM22,0,TMs and HMs,
tm23,TM23,10000,TMs and HMs,
tm24,TM24,0,TMs and HMs,
tm25,TM25,10000,TMs and HMs,
tm26,TM26,0,TMs and HMs,
tm27,TM27,0,TMs and HMs,
tm28,TM28,100000,TMs and HMs,
tm29,TM29,0,TMs and HMs,
tm30,TM30,0,TMs and HMs,
tm31,TM31,0,TMs and HMs,
tm32,TM32,10000,TMs and HMs,
tm33,TM33,10000,TMs and HMs,
tm34,TM34,10000,TMs and HMs,
tm35,TM35,10000,TMs and HMs,
tm36,TM36,0,TMs and HMs,
tm37,TM37,0,TMs and HMs,
tm38,TM38,0,TMs and HMs,
tm39,TM39,0,TMs and HMs,
tm40,TM40,0,TMs and HMs,
tm41,TM41,10000,TMs and HMs,
tm42,TM42,0,TMs and HMs,
tm43,TM43,0,TMs and HMs,
tm44,TM44,100000,TMs and HMs,
tm45,TM45,0,TMs and HMs,
tm46,TM46,30000,TMs and HMs,
tm47,TM47,0,TMs and HMs,
tm48,TM48,0,TMs and HMs,
tm49,TM49,0,TMs and HMs,
tm50,TM50,10000,TMs and HMs,
tm51,TM51,0,TMs and HMs,
tm52,TM52,100000,TMs and HMs,
tm53,TM53,0,TMs and HMs,
tm54,TM54,0,TMs and HMs,
tm55,TM55,10000,TMs and HMs,
tm56,TM56,0,TMs and HMs,
tm57,TM57,0,TMs and HMs,
tm58,TM58,0,TMs and HMs,
tm59,TM59,100000,TMs and HMs,
tm60,TM60,30000,TMs and HMs,
tm61,TM61,30000,TMs and HMs,
tm62,TM62,30000,TMs and HMs,
tm63,TM63,50000,TMs and HMs,
tm64,TM64,0,TMs and HMs,
tm65,TM65,0,TMs and HMs,
tm66,TM66,30000,TMs and HMs,
tm67,TM67,30000,TMs and HMs,
tm68,TM68,30000,TMs and HMs,
tm69,TM69,0,TMs and HMs,
tm70,TM70,50000,TMs and HMs,
tm71,TM71,50000,TMs and HMs,
tm72,TM72,50000,TMs and HMs,
tm73,TM73,0,TMs and HMs,
tm74,TM74,0,TMs and HMs,
tm75,TM75,0,TMs and HMs,
tm76,TM76,10000,TMs and HMs,
tm77,TM77,0,TMs and HMs,
tm78,TM78,0,TMs and HMs,
tm79,TM79,0,TMs and HMs,
tm80,TM80,0,TMs and HMs,
tm81,TM81,0,TMs and HMs,
tm82,TM82,0,TMs and HMs,
tm83,TM83,100000,TMs and HMs,
tm84,TM84,0,TMs and HMs,
tm85,TM85,0,TMs and HMs,
tm86,TM86,0,TMs and HMs,
tm87,TM87,0,TMs and HMs,
tm88,TM88,20000,TMs and HMs,
tm89,TM89,20000,TMs and HMs,
tm90,TM90,20000,TMs and HMs,
tm91,TM91,20000,TMs and HMs,
tm92,TM92,100000,TMs and HMs,
tm93,TM93,0,TMs and HMs,
tm94,TM94,10000,TMs and HMs,
tm95,TM95,0,TMs and HMs,
tm96,TM96,0,TMs and HMs,
tm97,TM97,0,TMs and HMs,
tm98,TM98,0,TMs and HMs,
tm99,TM99,0,TMs and HMs,
tr00,TR00,2000,TMs and HMs,
tr01,TR01,3000,TMs and HMs,
tr02,TR02,5000,TMs and HMs,
tr03,TR03,8000,TMs and HMs,
tr04,TR04,5000,TMs and HMs,
tr05,TR05,5000,TMs and HMs,
tr06,TR06,8000,TMs and HMs,
tr07,TR07,3000,TMs and HMs,
tr08,TR08,5000,TMs and HMs,
tr09,TR09,8000,TMs and HMs,
tr10,TR10,8000,TMs and HMs,
tr11,TR11,5000,TMs and HMs,
tr12,TR12,2000,TMs and HMs,
tr13,TR13,1000,TMs and HMs,
tr14,TR14,1000,TMs and HMs,
tr15,TR15,8000,TMs and HMs,
tr16,TR16,3000,TMs and HMs,
tr17,TR17,2000,TMs and HMs,
tr18,TR18,3000,TMs and HMs,
tr19,TR19,2000,TMs and HMs,
tr20,TR20,3000,TMs and HMs,
tr21,TR21,2000,TMs and HMs,
tr22,TR22,5000,TMs and HMs,
tr23,TR23,2000,TMs and HMs,
tr24,TR24,8000,TMs and HMs,
tr25,TR25,3000,TMs and HMs,
tr26,TR26,1000,TMs and HMs,
tr27,TR27,2000,TMs and HMs,
tr28,TR28,8000,TMs and HMs,
tr29,TR29,2000,TMs and HMs,
tr30,TR30,2000,TMs and HMs,
tr31,TR31,5000,TMs and HMs,
tr32,TR32,3000,TMs and HMs,
tr33,TR33,3000,TMs and HMs,
tr34,TR34,3000,TMs and HMs,
tr35,TR35,3000,TMs and HMs,
tr36,TR36,5000,TMs and HMs,
tr37,TR37,2000,TMs and HMs,
tr38,TR38,2000,TMs and HMs,
tr39,TR39,8000,TMs and HMs,
tr40,TR40,1000,TMs and HMs,
tr41,TR41,3000,TMs and HMs,
tr42,TR42,5000,TMs and HMs,
tr43,TR43,8000,TMs and HMs,
tr44,TR44,2000,TMs and HMs,
tr45,TR45,5000,TMs and HMs,
tr46,TR46,2000,TMs and HMs,
tr47,TR47,3000,TMs and HMs,
tr48,TR48,2000,TMs and HMs,
tr49,TR49,2000,TMs and HMs,
tr50,TR50,5000,TMs and HMs,
tr51,TR51,2000,TMs and HMs,
tr52,TR52,3000,TMs and HMs,
tr53,TR53,8000,TMs and HMs,
tr54,TR54,2000,TMs and HMs,
tr55,TR55,8000,TMs and HMs,
tr56,TR56,3000,TMs and HMs,
tr57,TR57,3000,TMs and HMs,
tr58,TR58,3000,TMs and HMs,
tr59,TR59,3000,TMs and HMs,
tr60,TR60,3000,TMs and HMs,
tr61,TR61,5000,TMs and HMs,
tr62,TR62,3000,TMs and HMs,
tr63,TR63,3000,TMs and HMs,
tr64,TR64,8000,TMs and HMs,
tr65,TR65,5000,TMs and HMs,
tr66,TR66,8000,TMs and HMs,
tr67,TR67,5000,TMs and HMs,
tr68,TR68,2000,TMs and HMs,
tr69,TR69,3000,TMs and HMs,
tr70,TR70,5000,TMs and HMs,
tr71,TR71,8000,TMs and HMs,
tr72,TR72,8000,TMs and HMs,
tr73,TR73,8000,TMs and HMs,
tr74,TR74,5000,TMs and HMs,
tr75,TR75,8000,TMs and HMs,
tr76,TR76,3000,TMs and HMs,
tr77,TR77,3000,TMs and HMs,
tr78,TR78,5000,TMs and HMs,
tr79,TR79,3000,TMs and HMs,
tr80,TR80,3000,TMs and HMs,
tr81,TR81,3000,TMs and HMs,
tr82,TR82,2000,TMs and HMs,
tr83,TR83,2000,TMs and HMs,
tr84,TR84,3000,TMs and HMs,
tr85,TR85,1000,TMs and HMs,
tr86,TR86,5000,TMs and HMs,
tr87,TR87,3000,TMs and HMs,
tr88,TR88,3000,TMs and HMs,
tr89,TR89,8000,TMs and HMs,
tr90,TR90,5000,TMs and HMs,
tr91,TR91,2000,TMs and HMs,
tr92,TR92,3000,TMs and HMs,
tr93,TR93,5000,TMs and HMs,
tr94,TR94,5000,TMs and HMs,
tr95,TR95,3000,TMs and HMs,
tr96,TR96,5000,TMs and HMs,
tr97,TR97,5000,TMs and HMs,
tr98,TR98,3000,TMs and HMs,
tr99,TR99,3000,TMs and HMs,
